date,day_week,open,high,low,close
20200219,3,57.6000000,59.4000000,57.5100000,59.3400000
20200220,4,59.3100000,60.0000000,58.9000000,59.1300000
20200221,5,59.0000000,59.2500000,57.7300000,58.3600000
20200224,1,57.8500000,57.8600000,55.1300000,56.2100000
20200225,2,56.4600000,56.9800000,54.0100000,54.2700000
20200226,3,54.4100000,54.7800000,52.3900000,52.8600000
20200227,4,52.5400000,52.6500000,50.4000000,50.9500000
20200228,5,51.0800000,51.1400000,48.9400000,50.0900000
20200302,1,48.9500000,53.2000000,48.4000000,53.0600000
20200303,2,53.4700000,53.8700000,51.2200000,51.6000000
20200304,3,52.1100000,53.0300000,51.0400000,51.5100000
20200305,4,51.6600000,52.0400000,49.7000000,50.1800000
20200306,5,50.2500000,50.4500000,45.1800000,45.5000000
20200309,1,38.2800000,38.3400000,31.0200000,33.4200000
20200310,2,35.8400000,38.2200000,35.0000000,37.7800000
20200311,3,37.2700000,39.7000000,35.3600000,35.8400000
20200312,4,35.9900000,36.4600000,32.5000000,32.7600000
20200313,5,32.8500000,36.1300000,32.5000000,34.9700000
20200316,1,35.8200000,35.8400000,29.4500000,29.8400000
20200317,2,30.1400000,31.2500000,28.5000000,28.8500000
20200318,3,28.4000000,29.2100000,24.5200000,26.4200000
20200319,4,27.1900000,29.4200000,24.9600000,28.1000000
20200320,5,28.1000000,30.9400000,26.8100000,27.2100000
20200323,1,26.7500000,27.5400000,24.6800000,27.5200000
20200324,2,27.7200000,28.6500000,26.6900000,27.7100000
20200325,3,27.8000000,30.0500000,25.6800000,30.0500000
20200326,4,29.8200000,30.1900000,28.3400000,29.3100000
20200327,5,29.0600000,29.3300000,27.1800000,28.2500000
20200330,1,23.8500000,26.4900000,21.6500000,26.4500000
20200331,2,26.4200000,27.9100000,25.6900000,25.9200000
20200401,3,25.9900000,26.2800000,24.5600000,25.6000000
20200402,4,25.6100000,35.7700000,25.4500000,29.6900000
20200403,5,29.8900000,35.0000000,28.2500000,34.6500000
20200406,1,31.7600000,34.2400000,30.0300000,33.2700000
20200407,2,33.6600000,34.1800000,31.7400000,32.4000000
20200408,3,32.6300000,33.8400000,31.5400000,33.6400000
20200409,4,33.8200000,36.3900000,31.2200000,32.0300000
20200413,1,33.9900000,33.9900000,30.6300000,31.8600000
20200414,2,32.2500000,32.3200000,29.3800000,30.0900000
20200415,3,30.2600000,30.3300000,27.1600000,28.0000000
20200416,4,28.0500000,29.0000000,27.2000000,28.5000000
20200417,5,28.6600000,28.9300000,27.5800000,28.2500000
20200420,1,28.0500000,28.2500000,25.3700000,26.1300000
20200421,2,26.3300000,26.5000000,17.5100000,19.5000000
20200422,3,20.2300000,22.4500000,15.9800000,20.8800000
20200423,4,20.8900000,23.2200000,20.0700000,21.6300000
20200424,5,21.9300000,22.7000000,20.5000000,21.8000000
20200427,1,24.8700000,25.1200000,22.5000000,23.0000000
20200428,2,22.8200000,23.7900000,21.9200000,23.1600000
20200429,3,22.9300000,25.2300000,22.7300000,24.4000000
20200430,4,24.5300000,27.0000000,24.4100000,26.6600000
20200501,5,26.9500000,27.8800000,25.7600000,26.6000000
20200504,1,26.1000000,28.0800000,25.5000000,27.9700000
20200505,2,28.1000000,32.0600000,27.7700000,31.9800000
20200506,3,32.2700000,32.2700000,28.6600000,29.8400000
20200507,4,29.6400000,31.8400000,29.0800000,29.3700000
20200508,5,29.6000000,31.1400000,29.4300000,30.8600000
20200511,1,30.7000000,31.4700000,29.3500000,30.1800000
20200512,2,30.0700000,30.7000000,29.3500000,29.4700000
20200513,3,29.3500000,30.5500000,28.8600000,29.5000000
20200514,4,29.5200000,31.5500000,28.8800000,31.4500000
20200515,5,31.5200000,32.9100000,30.9400000,32.7400000
20200518,1,32.7800000,35.7200000,32.6900000,35.5700000
20200519,2,35.6600000,35.7600000,34.2000000,34.5500000
20200520,3,34.4500000,36.4600000,34.3800000,35.8400000
20200521,4,35.8200000,36.9800000,35.7500000,35.9500000
20200522,5,36.1800000,36.2300000,33.5400000,35.1200000
20200525,1,34.9800000,35.9700000,34.4600000,35.5800000
20200526,2,36.3000000,37.2400000,35.8300000,36.6600000
20200527,3,36.4900000,36.7100000,34.7000000,35.0100000
20200528,4,34.6300000,36.6300000,34.3500000,36.1900000
20200529,5,36.0300000,38.1700000,34.8400000,37.6100000
20200601,1,37.5600000,38.6800000,37.1800000,38.6100000
20200602,2,38.3400000,39.7500000,38.2600000,39.5800000
20200603,3,39.7500000,40.5300000,38.7600000,39.4500000
20200604,4,39.6000000,40.1000000,39.0400000,39.8900000
20200605,5,39.8400000,42.4800000,39.7200000,42.0700000
